data,price
2015-04-07,240.00 
2015-04-08,240.00 
2015-04-09,240.00 
2015-04-10,240.00 
2015-04-13,240.00 
2015-04-14,238.50 
2015-04-15,238.50 
2015-04-16,240.00 
2015-04-17,239.55 
2015-04-20,241.40 
2015-04-21,239.70 
2015-04-22,240.50 
2015-04-23,237.90 
2015-04-24,239.05 
2015-04-27,237.45 
2015-04-28,240.45 
2015-04-29,240.70 
2015-04-30,236.25 
2015-05-04,239.65 
2015-05-05,239.65 
2015-05-06,239.65 
2015-05-07,237.90 
2015-05-08,237.90 
2015-05-11,237.90 
2015-05-12,237.90 
2015-05-13,237.90 
2015-05-14,242.05 
2015-05-15,242.05 
2015-05-18,245.40 
2015-05-19,244.00 
2015-05-20,240.75 
2015-05-21,241.60 
2015-05-22,241.30 
2015-05-25,241.00 
2015-05-26,239.00 
2015-05-27,238.05 
2015-05-28,237.40 
2015-05-29,236.30 
2015-06-01,236.05 
2015-06-02,235.50 
2015-06-03,236.35 
2015-06-04,234.35 
2015-06-05,234.30 
2015-06-08,232.85 
2015-06-09,234.00 
2015-06-10,234.70 
2015-06-11,235.80 
2015-06-12,235.05 
2015-06-15,234.50 
2015-06-16,237.55 
2015-06-17,234.35 
2015-06-18,237.40 
2015-06-19,239.00 
2015-06-23,237.85 
2015-06-24,235.95 
2015-06-25,235.30 
2015-06-26,235.00 
2015-06-29,236.70 
2015-06-30,234.05 
2015-07-01,233.00 
2015-07-02,231.75 
2015-07-03,231.75 
2015-07-06,231.75 
2015-07-07,235.00 
2015-07-08,223.20 
2015-07-09,230.95 
2015-07-10,230.50 
2015-07-13,232.65 
2015-07-14,232.65 
2015-07-15,232.65 
2015-07-16,229.80 
2015-07-17,228.60 
2015-07-20,223.65 
2015-07-21,220.20 
2015-07-22,219.05 
2015-07-23,219.15 
2015-07-24,216.40 
2015-07-27,219.40 
2015-07-28,217.85 
2015-07-29,218.55 
2015-07-30,217.00 
2015-07-31,215.50 
2015-08-03,216.20 
2015-08-04,214.95 
2015-08-05,217.85 
2015-08-06,216.00 
2015-08-07,216.00 
2015-08-10,218.40 
2015-08-11,221.90 
2015-08-12,226.15 
2015-08-13,226.15 
2015-08-14,229.00 
2015-08-17,229.00 
2015-08-18,230.40 
2015-08-19,230.30 
2015-08-20,235.15 
2015-08-21,238.05 
2015-08-24,238.85 
2015-08-25,237.65 
2015-08-26,235.00 
2015-08-27,232.65 
2015-08-28,233.65 
2015-08-31,234.20 
2015-09-01,238.90 
2015-09-02,237.80 
2015-09-07,228.00 
2015-09-08,228.00 
2015-09-09,228.00 
2015-09-10,228.00 
2015-09-11,228.00 
2015-09-14,228.00 
2015-09-15,228.00 
2015-09-16,227.75 
2015-09-17,231.05 
2015-09-18,232.50 
2015-09-21,234.00 
2015-09-22,234.00 
2015-09-23,232.25 
2015-09-24,234.75 
2015-09-25,236.70 
2015-09-28,235.50 
2015-09-29,232.45 
2015-09-30,233.05 
2015-10-08,234.50 
2015-10-09,235.00 
2015-10-12,236.00 
2015-10-13,235.90 
2015-10-14,235.90 
2015-10-15,235.90 
2015-10-16,235.30 
2015-10-19,235.30 
2015-10-20,235.30 
2015-10-21,235.30 
2015-10-22,235.30 
2015-10-23,235.30 
2015-10-26,237.25 
2015-10-27,240.30 
2015-10-28,239.50 
2015-10-29,235.75 
2015-10-30,242.10 
2015-11-02,242.10 
2015-11-03,242.10 
2015-11-04,242.10 
2015-11-05,242.10 
2015-11-06,242.10 
2015-11-09,242.10 
2015-11-10,242.10 
2015-11-11,242.10 
2015-11-12,242.10 
2015-11-13,242.10 
2015-11-16,242.10 
2015-11-17,222.35 
2015-11-18,221.15 
2015-11-19,221.95 
2015-11-20,223.40 
2015-11-23,220.55 
2015-11-24,220.70 
2015-11-25,222.05 
2015-11-26,220.90 
2015-11-27,220.30 
2015-11-30,216.90 
2015-12-01,220.35 
2015-12-02,220.00 
2015-12-03,217.45 
2015-12-04,218.85 
2015-12-07,223.55 
2015-12-08,221.85 
2015-12-09,222.20 
2015-12-10,222.00 
2015-12-11,220.70 
2015-12-14,220.85 
2015-12-15,220.10 
2015-12-16,222.60 
2015-12-17,223.10 
2015-12-18,221.90 
2015-12-21,224.50 
2015-12-22,224.95 
2015-12-23,224.15 
2015-12-24,224.05 
2015-12-25,224.60 
2015-12-28,223.85 
2015-12-29,224.25 
2015-12-30,224.05 
2015-12-31,222.80 
2016-01-04,223.00 
2016-01-05,225.05 
2016-01-06,226.80 
2016-01-07,229.05 
2016-01-08,233.90 
2016-01-11,232.05 
2016-01-12,234.00 
2016-01-13,234.00 
2016-01-14,234.00 
2016-01-15,234.00 
2016-01-18,231.90 
2016-01-19,231.35 
2016-01-20,232.10 
2016-01-21,233.90 
2016-01-22,232.25 
2016-01-25,233.95 
2016-01-26,234.20 
2016-01-27,237.55 
2016-01-28,236.20 
2016-01-29,235.10 
2016-02-01,236.85 
2016-02-02,239.00 
2016-02-03,241.30 
2016-02-04,241.30 
2016-02-05,241.30 
2016-02-15,241.30 
2016-02-16,252.25 
2016-02-17,253.50 
2016-02-18,254.50 
2016-02-19,256.50 
2016-02-22,254.75 
2016-02-23,254.95 
2016-02-24,257.65 
2016-02-25,262.00 
2016-02-26,260.60 
2016-02-29,257.95 
2016-03-01,255.05 
2016-03-02,255.05 
2016-03-03,255.05 
2016-03-04,255.05 
2016-03-07,255.05 
2016-03-08,255.05 
2016-03-09,255.05 
2016-03-10,255.05 
2016-03-11,255.05 
2016-03-14,255.05 
2016-03-15,255.05 
2016-03-16,258.70 
2016-03-17,263.30 
2016-03-18,263.60 
2016-03-21,259.40 
2016-03-22,259.60 
2016-03-23,260.60 
2016-03-24,255.85 
2016-03-25,255.80 
2016-03-28,254.45 
2016-03-29,257.20 
2016-03-30,263.50 
2016-03-31,245.65 
2016-04-01,245.65 
2016-04-05,254.20 
2016-04-06,254.20 
2016-04-07,248.20 
2016-04-08,248.20 
2016-04-11,257.00 
2016-04-12,257.00 
2016-04-13,257.00 
2016-04-14,257.00 
2016-04-15,256.00 
2016-04-18,257.35 
2016-04-19,255.95 
2016-04-20,260.05 
2016-04-21,263.50 
2016-04-22,259.80 
2016-04-25,259.40 
2016-04-26,259.70 
2016-04-27,260.70 
2016-04-28,260.80 
2016-04-29,263.05 
2016-05-03,262.30 
2016-05-04,262.30 
2016-05-05,262.30 
2016-05-06,262.30 
2016-05-09,262.30 
2016-05-10,262.30 
2016-05-11,262.30 
2016-05-12,262.30 
2016-05-13,262.30 
2016-05-16,262.30 
2016-05-17,267.80 
2016-05-18,267.75 
2016-05-19,263.90 
2016-05-20,264.05 
2016-05-23,263.25 
2016-05-24,261.80 
2016-05-25,257.95 
2016-05-26,259.00 
2016-05-27,257.90 
2016-05-30,254.60 
2016-05-31,256.95 
2016-06-01,257.65 
2016-06-02,257.90 
2016-06-03,257.50 
2016-06-06,262.55 
2016-06-07,262.70 
2016-06-08,264.90 
2016-06-13,271.05 
2016-06-14,271.20 
2016-06-15,272.00 
2016-06-16,277.90 
2016-06-17,273.25 
2016-06-20,275.45 
2016-06-21,274.80 
2016-06-22,271.30 
2016-06-23,270.30 
2016-06-24,278.90 
2016-06-27,278.70 
2016-06-28,280.30 
2016-06-29,283.95 
2016-06-30,281.00 
2016-07-01,281.00 
2016-07-04,281.00 
2016-07-05,281.00 
2016-07-06,281.00 
